"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1313","1","","Wed Jan 29 22:35:27 EET 2025","passed","Wed Jan 29 22:35:28 EET 2025","","Test","",""
"","3388","should login with valid credentials","","Wed Jan 29 22:13:08 EET 2025","passed","Wed Jan 29 22:13:11 EET 2025","","My Login application","",""
